date_checked,origin,destination,departure_date,airline,price_EUR
2025-07-21,VNO,ISB,2025-09-04,EY,473.03
2025-07-21,VNO,ISB,2025-09-04,EY,473.03
2025-07-21,VNO,ISB,2025-09-04,EY,519.52
2025-07-21,LHR,ISB,2025-09-04,EY,368.60
2025-07-21,LHR,ISB,2025-09-04,EY,368.60
2025-07-21,LHR,ISB,2025-09-04,EY,368.60
2025-07-21,WAW,ISB,2025-09-04,FZ,593.70
2025-07-21,WAW,ISB,2025-09-04,FZ,593.70
2025-07-21,WAW,ISB,2025-09-04,QR,633.89
2025-07-21,CDG,ISB,2025-09-04,QR,342.10
2025-07-21,CDG,ISB,2025-09-04,QR,342.10
2025-07-21,CDG,ISB,2025-09-04,QR,342.10
2025-07-22,VNO,ISB,2025-09-04,EY,472.79
2025-07-22,VNO,ISB,2025-09-04,EY,472.79
2025-07-22,VNO,ISB,2025-09-04,EY,519.28
2025-07-22,LHR,ISB,2025-09-04,GF,367.69
2025-07-22,LHR,ISB,2025-09-04,GF,367.69
2025-07-22,LHR,ISB,2025-09-04,EY,368.12
2025-07-22,WAW,ISB,2025-09-04,FZ,594.74
2025-07-22,WAW,ISB,2025-09-04,FZ,594.74
2025-07-22,WAW,ISB,2025-09-04,QR,635.20
2025-07-22,CDG,ISB,2025-09-04,QR,341.99
2025-07-22,CDG,ISB,2025-09-04,QR,341.99
2025-07-22,CDG,ISB,2025-09-04,QR,341.99
2025-07-23,VNO,ISB,2025-09-04,EY,472.37
2025-07-23,VNO,ISB,2025-09-04,EY,472.37
2025-07-23,VNO,ISB,2025-09-04,EY,518.86
2025-07-23,LHR,ISB,2025-09-04,GF,367.77
2025-07-23,LHR,ISB,2025-09-04,EY,367.77
2025-07-23,LHR,ISB,2025-09-04,EY,367.77
2025-07-23,WAW,ISB,2025-09-04,FZ,594.69
2025-07-23,WAW,ISB,2025-09-04,FZ,594.69
2025-07-23,WAW,ISB,2025-09-04,QR,635.03
2025-07-23,CDG,ISB,2025-09-04,QR,341.82
2025-07-23,CDG,ISB,2025-09-04,QR,341.82
2025-07-23,CDG,ISB,2025-09-04,QR,341.82
2025-07-24,VNO,ISB,2025-09-04,EY,471.84
2025-07-24,VNO,ISB,2025-09-04,EY,471.84
2025-07-24,VNO,ISB,2025-09-04,EY,518.33
2025-07-24,LHR,ISB,2025-09-04,EY,366.97
2025-07-24,LHR,ISB,2025-09-04,EY,366.97
2025-07-24,LHR,ISB,2025-09-04,EY,366.97
2025-07-24,WAW,ISB,2025-09-04,EY,490.62
2025-07-24,WAW,ISB,2025-09-04,EY,490.62
2025-07-24,WAW,ISB,2025-09-04,FZ,593.62
2025-07-24,CDG,ISB,2025-09-04,QR,341.60
2025-07-24,CDG,ISB,2025-09-04,QR,341.60
2025-07-24,CDG,ISB,2025-09-04,QR,341.60
2025-07-25,VNO,ISB,2025-09-04,EY,471.49
2025-07-25,VNO,ISB,2025-09-04,EY,471.49
2025-07-25,VNO,ISB,2025-09-04,EY,517.98
2025-07-25,LHR,ISB,2025-09-04,EY,366.79
2025-07-25,LHR,ISB,2025-09-04,EY,366.79
2025-07-25,LHR,ISB,2025-09-04,EY,366.79
2025-07-25,WAW,ISB,2025-09-04,EY,490.26
2025-07-25,WAW,ISB,2025-09-04,EY,490.26
2025-07-25,WAW,ISB,2025-09-04,FZ,593.57
2025-07-25,CDG,ISB,2025-09-04,QR,341.45
2025-07-25,CDG,ISB,2025-09-04,QR,341.45
2025-07-25,CDG,ISB,2025-09-04,QR,341.45
2025-07-26,VNO,ISB,2025-09-04,EY,471.31
2025-07-26,VNO,ISB,2025-09-04,EY,471.31
2025-07-26,VNO,ISB,2025-09-04,EY,482.65
2025-07-26,LHR,ISB,2025-09-04,EY,366.31
2025-07-26,LHR,ISB,2025-09-04,EY,366.31
2025-07-26,LHR,ISB,2025-09-04,EY,366.31
2025-07-26,WAW,ISB,2025-09-04,EY,490.07
2025-07-26,WAW,ISB,2025-09-04,EY,490.07
2025-07-26,WAW,ISB,2025-09-04,FZ,593.54
2025-07-26,CDG,ISB,2025-09-04,QR,341.39
2025-07-26,CDG,ISB,2025-09-04,QR,341.39
2025-07-26,CDG,ISB,2025-09-04,QR,341.39
2025-07-27,VNO,ISB,2025-09-04,EY,471.31
2025-07-27,VNO,ISB,2025-09-04,EY,471.31
2025-07-27,VNO,ISB,2025-09-04,EY,504.81
2025-07-27,LHR,ISB,2025-09-04,EY,366.31
2025-07-27,LHR,ISB,2025-09-04,EY,366.31
2025-07-27,LHR,ISB,2025-09-04,EY,366.31
2025-07-27,WAW,ISB,2025-09-04,EY,490.07
2025-07-27,WAW,ISB,2025-09-04,EY,490.07
2025-07-27,WAW,ISB,2025-09-04,FZ,593.54
